check	config_name	status	detail
manifest_value:temperature_start	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:temperature_end	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_top1_mstep_mode	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_gate_mode	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_prior_mode	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_mstep_mode	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_callable_anchor_mode	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:copytrack_uses_phase_labels	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copytrack_uses_charm_or_reference	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_phase_labels	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_charm_or_reference	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_phase_labels	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_charm_or_reference	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:config_name	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=p9016_transgamma_g0_td0p75_seed71_best035 expected=p9016_transgamma_g0_td0p75_seed71_best035
manifest_value:init_seed	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=71 expected=71
manifest_value:init_noise_scale	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
manifest_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_dscale_multiplier	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
manifest_value:trans_dscale_effective_count_formula	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=n_raw*posterior_prob^0 expected=n_raw*posterior_prob^0
manifest_value:trans_dscale_probability_weighted	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_mode	p9016_transgamma_g0_td0p75_seed71_best035	PASS	actual=trans_edge_scaling expected=trans_edge_scaling
summary_status_ok	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	OK
summary_finite:model_top1_accuracy_genome_all	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.480753
summary_finite:model_top1_accuracy_genome_cis	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.574433
summary_finite:model_top1_accuracy_genome_trans	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.34668
summary_finite:model_same_cross_accuracy_genome_trans	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.561423
summary_finite:mean_per_chrom_cis_distance_spearman	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.765422
summary_finite:final_mean_entropy	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.665140331
summary_finite:final_mean_pU	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.479797333
summary_finite:final_min_sep	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.935085416
summary_finite:final_mean_sep	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	4.53020144
summary_finite:trans_d_scale_posterior_gamma	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.25
summary_finite:trans_dscale_multiplier	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	0.75
summary_value:init_seed	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=71 expected=71
summary_value:init_noise_scale	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
summary_value:d_scale_posterior_gamma	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0.25 expected=0.25
summary_value:trans_dscale_multiplier	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
summary_value:d_scale_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
summary_value:rho_train_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=constant expected=constant
summary_value:temperature_start	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:temperature_end	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_top1_mstep_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:trans_gate_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:input_contact_source	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
summary_value:uses_phase_labels	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
summary_value:uses_charm_or_reference	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_exists	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p25_td0p75_seed71_best035/p9016_transgamma_g0p25_td0p75_seed71_best035/p9016_full.manifest.tsv
manifest_no_duplicate_keys	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	NA
manifest_value:sample	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=P9016 expected=P9016
manifest_value:input_contact_source	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
manifest_value:approved_p9016_raw_pairs_realpath	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:uses_phase_labels	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:uses_charm_or_reference	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copy_labels_are_gauge_only	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:dscale_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_posterior_gamma	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_k_multiplier	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:rho_train_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=constant expected=constant
manifest_value:rho_train	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:rho_train_floor	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:temperature_start	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:temperature_end	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_top1_mstep_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_gate_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_prior_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_mstep_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_callable_anchor_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:copytrack_uses_phase_labels	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copytrack_uses_charm_or_reference	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_phase_labels	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_charm_or_reference	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_phase_labels	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_charm_or_reference	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:config_name	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=p9016_transgamma_g0p25_td0p75_seed71_best035 expected=p9016_transgamma_g0p25_td0p75_seed71_best035
manifest_value:init_seed	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=71 expected=71
manifest_value:init_noise_scale	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
manifest_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0.25 expected=0.25
manifest_value:trans_dscale_multiplier	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
manifest_value:trans_dscale_effective_count_formula	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=n_raw*posterior_prob^0.25 expected=n_raw*posterior_prob^0.25
manifest_value:trans_dscale_probability_weighted	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_contact_scaling_mode	p9016_transgamma_g0p25_td0p75_seed71_best035	PASS	actual=trans_edge_scaling expected=trans_edge_scaling
summary_status_ok	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	OK
summary_finite:model_top1_accuracy_genome_all	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.474745
summary_finite:model_top1_accuracy_genome_cis	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.56116
summary_finite:model_top1_accuracy_genome_trans	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.35107
summary_finite:model_same_cross_accuracy_genome_trans	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.564396
summary_finite:mean_per_chrom_cis_distance_spearman	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.780464
summary_finite:final_mean_entropy	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.661346436
summary_finite:final_mean_pU	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.477060616
summary_finite:final_min_sep	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.744122386
summary_finite:final_mean_sep	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	4.62985849
summary_finite:trans_d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.5
summary_finite:trans_dscale_multiplier	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	0.75
summary_value:init_seed	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=71 expected=71
summary_value:init_noise_scale	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
summary_value:d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0.5 expected=0.5
summary_value:trans_dscale_multiplier	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
summary_value:d_scale_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
summary_value:rho_train_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=constant expected=constant
summary_value:temperature_start	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:temperature_end	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_top1_mstep_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:trans_gate_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:input_contact_source	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
summary_value:uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
summary_value:uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_exists	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p5_td0p75_seed71_best035/p9016_transgamma_g0p5_td0p75_seed71_best035/p9016_full.manifest.tsv
manifest_no_duplicate_keys	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	NA
manifest_value:sample	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=P9016 expected=P9016
manifest_value:input_contact_source	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
manifest_value:approved_p9016_raw_pairs_realpath	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copy_labels_are_gauge_only	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:dscale_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_k_multiplier	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:rho_train_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=constant expected=constant
manifest_value:rho_train	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:rho_train_floor	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:temperature_start	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:temperature_end	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_top1_mstep_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_gate_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_prior_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_mstep_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_callable_anchor_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:copytrack_uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copytrack_uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_phase_labels	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_charm_or_reference	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:config_name	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=p9016_transgamma_g0p5_td0p75_seed71_best035 expected=p9016_transgamma_g0p5_td0p75_seed71_best035
manifest_value:init_seed	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=71 expected=71
manifest_value:init_noise_scale	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
manifest_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0.5 expected=0.5
manifest_value:trans_dscale_multiplier	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
manifest_value:trans_dscale_effective_count_formula	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=n_raw*posterior_prob^0.5 expected=n_raw*posterior_prob^0.5
manifest_value:trans_dscale_probability_weighted	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_contact_scaling_mode	p9016_transgamma_g0p5_td0p75_seed71_best035	PASS	actual=trans_edge_scaling expected=trans_edge_scaling
summary_status_ok	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	OK
summary_finite:model_top1_accuracy_genome_all	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.479519
summary_finite:model_top1_accuracy_genome_cis	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.567794
summary_finite:model_top1_accuracy_genome_trans	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.353181
summary_finite:model_same_cross_accuracy_genome_trans	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.556554
summary_finite:mean_per_chrom_cis_distance_spearman	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.789754
summary_finite:final_mean_entropy	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.657840312
summary_finite:final_mean_pU	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.474531442
summary_finite:final_min_sep	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.566995442
summary_finite:final_mean_sep	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	4.61124086
summary_finite:trans_d_scale_posterior_gamma	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.75
summary_finite:trans_dscale_multiplier	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	0.75
summary_value:init_seed	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=71 expected=71
summary_value:init_noise_scale	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
summary_value:d_scale_posterior_gamma	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
summary_value:trans_dscale_multiplier	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
summary_value:d_scale_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
summary_value:rho_train_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=constant expected=constant
summary_value:temperature_start	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:temperature_end	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_top1_mstep_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:trans_gate_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:input_contact_source	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
summary_value:uses_phase_labels	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
summary_value:uses_charm_or_reference	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_exists	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g0p75_td0p75_seed71_best035/p9016_transgamma_g0p75_td0p75_seed71_best035/p9016_full.manifest.tsv
manifest_no_duplicate_keys	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	NA
manifest_value:sample	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=P9016 expected=P9016
manifest_value:input_contact_source	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
manifest_value:approved_p9016_raw_pairs_realpath	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:uses_phase_labels	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:uses_charm_or_reference	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copy_labels_are_gauge_only	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:dscale_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
manifest_value:d_scale_posterior_gamma	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_k_multiplier	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:rho_train_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=constant expected=constant
manifest_value:rho_train	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:rho_train_floor	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:temperature_start	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:temperature_end	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_top1_mstep_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_gate_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_prior_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_chr_pair_mstep_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:trans_callable_anchor_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=off expected=off
manifest_value:copytrack_uses_phase_labels	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:copytrack_uses_charm_or_reference	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_phase_labels	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:global_copytrack_uses_charm_or_reference	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_phase_labels	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:trans_contact_scaling_uses_charm_or_reference	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_value:config_name	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=p9016_transgamma_g0p75_td0p75_seed71_best035 expected=p9016_transgamma_g0p75_td0p75_seed71_best035
manifest_value:init_seed	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=71 expected=71
manifest_value:init_noise_scale	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
manifest_value:trans_d_scale_posterior_gamma	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
manifest_value:trans_dscale_multiplier	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
manifest_value:trans_dscale_effective_count_formula	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=n_raw*posterior_prob^0.75 expected=n_raw*posterior_prob^0.75
manifest_value:trans_dscale_probability_weighted	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=1 expected=1
manifest_value:trans_contact_scaling_mode	p9016_transgamma_g0p75_td0p75_seed71_best035	PASS	actual=trans_edge_scaling expected=trans_edge_scaling
summary_status_ok	p9016_transgamma_g1_td0p75_seed71_best035	PASS	OK
summary_finite:model_top1_accuracy_genome_all	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.469323
summary_finite:model_top1_accuracy_genome_cis	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.557268
summary_finite:model_top1_accuracy_genome_trans	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.343458
summary_finite:model_same_cross_accuracy_genome_trans	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.543635
summary_finite:mean_per_chrom_cis_distance_spearman	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.78117
summary_finite:final_mean_entropy	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.648466766
summary_finite:final_mean_pU	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.467769891
summary_finite:final_min_sep	p9016_transgamma_g1_td0p75_seed71_best035	PASS	1.12908781
summary_finite:final_mean_sep	p9016_transgamma_g1_td0p75_seed71_best035	PASS	4.53891897
summary_finite:trans_d_scale_posterior_gamma	p9016_transgamma_g1_td0p75_seed71_best035	PASS	1
summary_finite:trans_dscale_multiplier	p9016_transgamma_g1_td0p75_seed71_best035	PASS	0.75
summary_value:init_seed	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=71 expected=71
summary_value:init_noise_scale	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=0.0500000007 expected=0.05
summary_value:d_scale_posterior_gamma	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_d_scale_posterior_gamma	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_dscale_multiplier	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=0.75 expected=0.75
summary_value:d_scale_mode	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=posterior_count expected=posterior_count
summary_value:rho_train_mode	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=constant expected=constant
summary_value:temperature_start	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:temperature_end	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=1 expected=1
summary_value:trans_top1_mstep_mode	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:trans_gate_mode	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=off expected=off
summary_value:input_contact_source	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=raw_pairs expected=raw_pairs
summary_value:uses_phase_labels	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=0 expected=0
summary_value:uses_charm_or_reference	p9016_transgamma_g1_td0p75_seed71_best035	PASS	actual=0 expected=0
manifest_exists	p9016_transgamma_g1_td0p75_seed71_best035	PASS	/mnt/ssd/zliu/phase3/test_res/049-20260620_103248-p9016_trans_dscale_gamma_1m/outputs/p9016_transgamma_g1_td0p75_seed71_best035/p9016_transgamma_g1_td0p75_seed71_best035/p9016_full.manifest.tsv
manifest_no_duplicate_keys	p9016_transgamma_g1_td0p75_seed71_best035	PASS	NA
